[(2, 5), (13, 3), (14, 5)], [], [212, 76]
[(1, 5), (13, 3), (14, 5)], [], [220, 76]
[(1, 5), (13, 3), (14, 5)], [], [218, 76]
[(1, 5), (13, 3), (14, 4)], [], [218, 74]
[(1, 5), (13, 3), (14, 4)], [], [218, 74]
[(1, 5), (13, 3), (14, 4)], [], [218, 74]
[(1, 4), (13, 3), (14, 4)], [], [226, 74]
[(1, 4), (13, 3), (14, 4)], [], [224, 74]
[(1, 4), (13, 3), (14, 3)], [], [224, 72]
[(1, 4), (13, 3), (14, 3)], [], [224, 72]
[(1, 4), (13, 3), (14, 3)], [], [224, 72]
[(1, 3), (13, 3), (14, 3)], [], [232, 72]
[(1, 3), (13, 3), (14, 3)], [], [230, 72]
[(1, 3), (13, 3), (14, 2)], [], [230, 70]
[(1, 3), (13, 3), (14, 2)], [], [230, 70]
[(1, 3), (13, 3), (14, 2)], [], [230, 70]
[(1, 2), (13, 3), (14, 2)], [], [238, 70]
[(1, 2), (13, 3), (14, 2)], [], [236, 70]
[(1, 2), (13, 3), (14, 1)], [], [236, 68]
[(1, 2), (13, 3), (14, 1)], [], [236, 68]
[(1, 2), (13, 3), (14, 1)], [], [236, 68]
[(1, 1), (13, 3), (14, 1)], [], [244, 68]
[(1, 1), (14, 3), (14, 1)], [], [242, 68]
[(1, 1), (14, 3), (15, 1)], [], [242, 76]
[(1, 1), (14, 3), (15, 1)], [], [242, 76]
[(1, 1), (14, 3), (15, 1)], [], [242, 76]
[(2, 1), (14, 3), (15, 1)], [], [240, 76]
[(2, 1), (14, 3), (15, 1)], [], [238, 76]
[(2, 1), (14, 3), (16, 1)], [], [238, 74]
[(2, 1), (14, 3), (16, 1)], [], [238, 74]
[(2, 1), (14, 3), (16, 1)], [], [238, 74]
[(3, 1), (14, 3), (16, 1)], [], [246, 74]
[(3, 1), (14, 3), (16, 1)], [], [244, 74]
[(3, 1), (14, 3), (17, 1)], [], [244, 72]
[(3, 1), (14, 3), (17, 1)], [], [244, 72]
[(3, 1), (14, 3), (17, 1)], [], [244, 72]
[(4, 1), (14, 3), (17, 1)], [], [252, 72]
[(4, 1), (14, 4), (17, 1)], [], [250, 72]
[(4, 1), (14, 4), (18, 1)], [], [250, 70]
[(4, 1), (14, 4), (18, 1)], [], [250, 70]
[(4, 1), (14, 4), (18, 1)], [], [250, 70]
[(5, 1), (14, 4), (18, 1)], [], [248, 70]
[(5, 1), (14, 5), (18, 1)], [], [246, 70]
[(5, 1), (14, 5), (19, 1)], [], [246, 68]
[(5, 1), (14, 5), (19, 1)], [], [246, 68]
[(5, 1), (14, 5), (19, 1)], [], [246, 68]
[(5, 2), (14, 5), (19, 1)], [], [244, 68]
[(5, 2), (15, 5), (19, 1)], [], [242, 68]
[(5, 2), (15, 5), (19, 2)], [], [242, 66]
[(5, 2), (15, 5), (19, 2)], [], [242, 66]
[(5, 2), (15, 5), (19, 2)], [], [242, 66]
[(5, 3), (15, 5), (19, 2)], [], [240, 66]
[(5, 3), (16, 5), (19, 2)], [], [238, 66]
[(5, 3), (16, 5), (19, 3)], [], [238, 64]
[(5, 3), (16, 5), (19, 3)], [], [238, 64]
[(5, 3), (16, 5), (19, 3)], [], [238, 64]
[(5, 4), (16, 5), (19, 3)], [], [236, 64]
[(5, 4), (17, 5), (19, 3)], [], [234, 64]
[(5, 4), (17, 5), (20, 3)], [], [234, 72]
[(5, 4), (17, 5), (20, 3)], [], [234, 72]
[(5, 4), (17, 5), (20, 3)], [], [234, 72]
[(6, 4), (17, 5), (20, 3)], [], [242, 72]
[(6, 4), (18, 5), (20, 3)], [], [240, 72]
[(6, 4), (18, 5), (20, 2)], [], [240, 80]
[(6, 4), (18, 5), (20, 2)], [], [240, 80]
[(6, 4), (18, 5), (20, 2)], [], [240, 80]
[(7, 4), (18, 5), (20, 2)], [], [238, 80]
[(7, 4), (19, 5), (20, 2)], [], [236, 80]
[(7, 4), (19, 5), (20, 1)], [], [236, 78]
[(7, 4), (19, 5), (20, 1)], [], [236, 78]
[(7, 4), (19, 5), (20, 1)], [], [236, 78]
[(7, 3), (19, 5), (20, 1)], [], [234, 78]
[(7, 3), (20, 5), (20, 1)], [], [242, 78]
[(7, 3), (20, 5), (20, 1)], [], [242, 76]
[(7, 3), (20, 5), (20, 1)], [], [242, 76]
